index,Date,Close,Open,High,Low,Volume,Dividends,Stock Splits,SMA for 10 days,SMA for 20 days,SMA for 50 days,Daily_Return
0,2016-06-14 00:00:00-04:00,35.669403076171875,35.580510969852455,35.87797482848984,35.413649779228734,26122000.0,0.0,0.0,,,,
1,2016-06-15 00:00:00-04:00,35.701683044433594,35.70565746385733,35.90330242444706,35.621732426054486,24290000.0,0.0,0.0,,,,0.00090497640772913
2,2016-06-16 00:00:00-04:00,35.27659606933594,35.50254693878969,35.58895741348882,34.924005566575815,39650000.0,0.0,0.0,,,,-0.011906636854307484
3,2016-06-17 00:00:00-04:00,34.350929260253906,35.19167628154464,35.200121450019694,34.188641083286434,68048000.0,0.0,0.0,,,,-0.02624025309195477
4,2016-06-20 00:00:00-04:00,34.44975280761719,34.70103159595297,34.88527189207179,34.434855364902305,41650000.0,0.0,0.0,,,,0.002876881338917059
5,2016-06-21 00:00:00-04:00,34.560489654541016,34.682650940021865,34.899667851322235,34.36532257524661,29312000.0,0.0,0.0,,,,0.003214445326857218
6,2016-06-22 00:00:00-04:00,34.63597869873047,34.7154329901079,34.804821435888634,34.41856393279643,23686000.0,0.0,0.0,,,,0.0021842585259648217
7,2016-06-23 00:00:00-04:00,34.85497283935547,34.63547806607826,34.85894725837689,34.11652654292991,43428000.0,0.0,0.0,,,,0.0063227357462551925
8,2016-06-24 00:00:00-04:00,33.53153610229492,33.529050669386734,34.23571683448406,33.44363664578579,88980000.0,0.0,0.0,,,,-0.037969811170422973
9,2016-06-27 00:00:00-04:00,33.18589782714844,33.32196770057878,33.38652833551927,32.938790481405825,52580000.0,0.0,0.0,34.62172393798828,,,-0.010307856881117572
10,2016-06-28 00:00:00-04:00,33.77089309692383,33.71775939461975,33.78529420947787,33.42128818773908,43476000.0,0.0,0.0,34.43187294006348,,,0.017627827121700523
11,2016-06-29 00:00:00-04:00,33.97301483154297,33.91789202164012,34.13783388964962,33.838930272984875,38652000.0,0.0,0.0,34.259006118774415,,,0.005985087040459414
12,2016-06-30 00:00:00-04:00,34.36979675292969,34.04054888737698,34.38072356440774,33.950167788968905,31954000.0,0.0,0.0,34.168326187133786,,,0.01167932617561851
13,2016-07-01 00:00:00-04:00,34.72288131713867,34.37476536352979,34.79439434621288,34.3712872728972,26894000.0,0.0,0.0,34.20552139282226,,,0.010273105969964336
14,2016-07-05 00:00:00-04:00,34.511329650878906,34.566452458940674,34.61015212683431,34.20989135737403,29252000.0,0.0,0.0,34.21167907714844,,,-0.0060925723394776865
15,2016-07-06 00:00:00-04:00,34.651371002197266,34.264518678638495,34.845541657209885,34.220318892079206,28238000.0,0.0,0.0,34.220767211914065,,,0.004057837027290345
16,2016-07-07 00:00:00-04:00,34.53168869018555,34.6667621060427,34.67272184021967,34.17686665241836,26084000.0,0.0,0.0,34.21033821105957,,,-0.003453898317735571
17,2016-07-08 00:00:00-04:00,35.04169845581055,34.73727841891428,35.045669086052335,34.585072189235454,31504000.0,0.0,0.0,34.22901077270508,,,0.014769325942926015
18,2016-07-11 00:00:00-04:00,35.5114860534668,35.16187733605689,35.58200263378035,35.121651968918,22236000.0,0.0,0.0,34.427005767822266,,,0.013406530458238919
19,2016-07-12 00:00:00-04:00,35.787105560302734,35.71162189149006,35.90132182693059,35.552213173845914,26738000.0,0.0,0.0,34.687126541137694,34.65442523956299,,0.007761418556828659
20,2016-07-13 00:00:00-04:00,35.60533905029297,35.935083226276745,35.95395508651867,35.59888298728308,18718000.0,0.0,0.0,34.87057113647461,34.65122203826904,,-0.0050791062077787386
21,2016-07-14 00:00:00-04:00,35.802494049072266,35.83377792004499,35.865065579787355,35.65748646838449,19004000.0,0.0,0.0,35.053519058227536,34.65626258850098,,0.005537231326482095
22,2016-07-15 00:00:00-04:00,35.747867584228516,36.039868061029,36.04036438985294,35.70838860449242,25586000.0,0.0,0.0,35.19132614135742,34.679826164245604,,-0.0015257726115078807
23,2016-07-18 00:00:00-04:00,36.439632415771484,35.88989709633633,36.556334098169636,35.81441343883297,25910000.0,0.0,0.0,35.3630012512207,34.784261322021486,,0.019351219479400994
24,2016-07-19 00:00:00-04:00,36.59755325317383,36.24645553749248,36.59904223968765,36.202259538297255,24550000.0,0.0,0.0,35.57162361145019,34.89165134429932,,0.004333765928275168
25,2016-07-20 00:00:00-04:00,36.807613372802734,36.615924378878994,36.85429101056888,36.60450123944191,25794000.0,0.0,0.0,35.787247848510745,35.004007530212405,,0.005739731237652812
